Frequency (Hz)	Level (dB)
0.672913	-91.006073
1.345825	-90.935791
2.018738	-90.971107
2.691650	-90.971558
3.364563	-91.103867
4.037476	-90.837570
4.710388	-90.938599
5.383301	-90.884590
6.056213	-90.111015
6.729126	-90.337929
7.402039	-90.892937
8.074951	-91.032509
8.747864	-90.585480
9.420776	-89.899948
10.093689	-90.766891
10.766602	-90.196381
11.439514	-90.002914
12.112427	-89.521561
12.785339	-89.745186
13.458252	-88.834290
14.131165	-89.147484
14.804077	-88.854759
15.476990	-89.502327
16.149902	-88.868645
16.822815	-88.612823
17.495728	-88.732590
18.168640	-88.335640
18.841553	-89.165565
19.514465	-88.560341
20.187378	-88.001823
20.860291	-88.241142
21.533203	-87.938744
22.206116	-88.501488
22.879028	-87.131172
23.551941	-88.190285
24.224854	-87.115845
24.897766	-87.217392
25.570679	-88.563568
26.243591	-87.410408
26.916504	-87.954819
27.589417	-86.869308
28.262329	-87.138962
28.935242	-87.556755
29.608154	-86.856583
30.281067	-87.418076
30.953979	-88.248314
31.626892	-86.908585
32.299805	-87.659615
32.972717	-88.090134
33.645630	-88.404182
34.318542	-86.430168
34.991455	-86.258598
35.664368	-86.538734
36.337280	-87.254997
37.010193	-87.373436
37.683105	-88.006508
38.356018	-87.685944
39.028931	-88.218979
39.701843	-87.310234
40.374756	-87.141975
41.047668	-86.811127
41.720581	-87.122620
42.393494	-87.152977
43.066406	-87.539291
43.739319	-85.619026
44.412231	-86.233070
45.085144	-86.708656
45.758057	-85.303596
46.430969	-86.084930
47.103882	-85.304817
47.776794	-86.642548
48.449707	-86.556419
49.122620	-85.849625
49.795532	-87.188629
50.468445	-86.618973
51.141357	-86.704308
51.814270	-85.533730
52.487183	-85.638313
53.160095	-85.573601
53.833008	-85.056190
54.505920	-84.554558
55.178833	-86.398872
55.851746	-84.618225
56.524658	-86.321266
57.197571	-84.092346
57.870483	-81.386658
58.543396	-81.131828
59.216309	-75.398026
59.889221	-83.378990
60.562134	-80.824318
61.235046	-81.201553
61.907959	-83.713570
62.580872	-82.665771
63.253784	-82.068771
63.926697	-83.555237
64.599609	-82.998993
65.272522	-84.688835
65.945435	-83.682251
66.618347	-84.172256
67.291260	-84.122673
67.964172	-83.414162
68.637085	-83.321571
69.309998	-82.730980
69.982910	-81.328400
70.655823	-81.368790
71.328735	-80.497276
72.001648	-80.165382
72.674561	-80.166153
73.347473	-80.481422
74.020386	-79.532707
74.693298	-80.390564
75.366211	-81.507309
76.039124	-81.780663
76.712036	-81.755486
77.384949	-81.709579
78.057861	-80.846153
78.730774	-79.916649
79.403687	-79.733521
80.076599	-79.714203
80.749512	-79.986122
81.422424	-78.541908
82.095337	-79.751717
82.768250	-77.753334
83.441162	-77.739357
84.114075	-77.707138
84.786987	-77.336487
85.459900	-77.066925
86.132812	-76.400497
86.805725	-76.755264
87.478638	-77.869003
88.151550	-76.449364
88.824463	-71.781715
89.497375	-74.134064
90.170288	-74.341278
90.843201	-75.966446
91.516113	-75.895699
92.189026	-67.059944
92.861938	-73.869698
93.534851	-71.269470
94.207764	-77.158752
94.880676	-77.320442
95.553589	-77.848831
96.226501	-77.825714
96.899414	-77.166458
97.572327	-78.088783
98.245239	-77.141365
98.918152	-78.032021
99.591064	-78.614906
100.263977	-74.677612
100.936890	-74.318008
101.609802	-76.542435
102.282715	-75.350883
102.955627	-74.487244
103.628540	-73.499229
104.301453	-74.095116
104.974365	-74.801849
105.647278	-74.680008
106.320190	-72.388969
106.993103	-72.059662
107.666016	-71.848236
108.338928	-72.317856
109.011841	-71.822441
109.684753	-72.628143
110.357666	-71.603851
111.030579	-70.796928
111.703491	-70.805328
112.376404	-69.530800
113.049316	-68.041489
113.722229	-68.488396
114.395142	-66.649925
115.068054	-65.801910
115.740967	-64.618057
116.413879	-62.694000
117.086792	-59.526222
117.759705	-55.595470
118.432617	-43.448181
119.105530	-48.838867
