Frequency (Hz)	Level (dB)
2939.282227	-47.091812
2950.048828	-47.671494
2960.815430	-47.813641
2971.582031	-48.717216
2982.348633	-48.801991
2993.115234	-48.922985
3003.881836	-49.223789
3014.648438	-49.138863
3025.415039	-49.390991
3036.181641	-49.324306
3046.948242	-49.258617
3057.714844	-48.719280
3068.481445	-47.907757
3079.248047	-47.915485
3090.014648	-47.664204
3100.781250	-46.902359
3111.547852	-45.947144
3122.314453	-44.881683
3133.081055	-44.019032
3143.847656	-43.216038
3154.614258	-42.428619
3165.380859	-41.921879
3176.147461	-41.753925
3186.914062	-42.841923
3197.680664	-43.776051
3208.447266	-44.947876
3219.213867	-46.086033
3229.980469	-46.066437
3240.747070	-47.312412
3251.513672	-48.105762
3262.280273	-48.050564
3273.046875	-48.307968
3283.813477	-49.000416
3294.580078	-48.943230
3305.346680	-49.036324
3316.113281	-49.048969
3326.879883	-48.460140
3337.646484	-47.957893
3348.413086	-47.571838
3359.179688	-47.114952
3369.946289	-46.617058
3380.712891	-45.551090
3391.479492	-45.050964
3402.246094	-44.115215
3413.012695	-42.882595
3423.779297	-41.670547
3434.545898	-41.136127
3445.312500	-40.517319
3456.079102	-40.495590
3466.845703	-41.237148
3477.612305	-42.753849
3488.378906	-43.909439
3499.145508	-44.607693
3509.912109	-45.169350
3520.678711	-45.706894
3531.445312	-46.553486
3542.211914	-46.900509
3552.978516	-47.675999
3563.745117	-47.768261
3574.511719	-48.167084
3585.278320	-48.101593
3596.044922	-47.920444
3606.811523	-47.637764
3617.578125	-47.710602
3628.344727	-46.720318
3639.111328	-46.630375
3649.877930	-46.017361
3660.644531	-44.746677
3671.411133	-43.994518
3682.177734	-43.295551
3692.944336	-42.219276
3703.710938	-41.469341
3714.477539	-40.619862
3725.244141	-39.389446
3736.010742	-39.217846
3746.777344	-40.104588
3757.543945	-41.029957
3768.310547	-42.464306
3779.077148	-42.501316
3789.843750	-44.136665
3800.610352	-44.810257
3811.376953	-45.297260
3822.143555	-46.474121
3832.910156	-46.680279
3843.676758	-46.967167
3854.443359	-47.215359
3865.209961	-47.348858
3875.976562	-47.326836
3886.743164	-47.369175
3897.509766	-47.087105
3908.276367	-46.667912
3919.042969	-46.131256
3929.809570	-45.672138
3940.576172	-45.057381
3951.342773	-44.158768
3962.109375	-43.363300
3972.875977	-42.063385
3983.642578	-41.303482
3994.409180	-40.064632
4005.175781	-38.996769
4015.942383	-39.298252
4026.708984	-39.802368
4037.475586	-40.724419
4048.242188	-41.851494
4059.008789	-42.679050
4069.775391	-43.881775
4080.541992	-44.398762
4091.308594	-45.546242
4102.075195	-45.811455
4112.841797	-46.586452
4123.608398	-46.962200
4134.375000	-47.808037
4145.141602	-47.760681
4155.908203	-48.459167
4166.674805	-48.087326
4177.441406	-48.283859
4188.208008	-47.944309
4198.974609	-47.813087
4209.741211	-47.511444
4220.507812	-47.458305
4231.274414	-46.690796
4242.041016	-46.124210
4252.807617	-45.103981
4263.574219	-44.297714
4274.340820	-43.179398
4285.107422	-42.639931
4295.874023	-41.532185
4306.640625	-41.561035
4317.407227	-42.404011
4328.173828	-43.798294
4338.940430	-44.946823
4349.707031	-46.269810
4360.473633	-47.295063
4371.240234	-48.196785
4382.006836	-49.307911
4392.773438	-49.933037
4403.540039	-51.095348
4414.306641	-51.498795
4425.073242	-52.099545
4435.839844	-52.662437
4446.606445	-52.850281
4457.373047	-52.870571
4468.139648	-53.454681
4478.906250	-52.920486
4489.672852	-53.429306
4500.439453	-53.146442
4511.206055	-52.836437
4521.972656	-52.535397
4532.739258	-51.861725
4543.505859	-51.503555
4554.272461	-51.128590
4565.039062	-50.119095
4575.805664	-48.860191
4586.572266	-48.632961
4597.338867	-50.140717
4608.105469	-51.466728
4618.872070	-52.293304
4629.638672	-53.645134
4640.405273	-54.804424
4651.171875	-55.857311
4661.938477	-56.214958
4672.705078	-56.967880
4683.471680	-57.911633
4694.238281	-58.262104
4705.004883	-58.873215
4715.771484	-59.381477
4726.538086	-59.454193
4737.304688	-60.107838
4748.071289	-60.244446
4758.837891	-60.555260
4769.604492	-60.754150
4780.371094	-60.906971
4791.137695	-60.662319
4801.904297	-60.336021
4812.670898	-60.664791
4823.437500	-60.261501
4834.204102	-60.106895
4844.970703	-60.201397
4855.737305	-59.985844
4866.503906	-59.639393
4877.270508	-59.826340
4888.037109	-60.436382
4898.803711	-60.819969
4909.570312	-61.217701
4920.336914	-61.691284
4931.103516	-61.907551
4941.870117	-62.275211
4952.636719	-62.561001
4963.403320	-62.473053
4974.169922	-62.983742
4984.936523	-62.713528
4995.703125	-62.830124
5006.469727	-63.309608
5017.236328	-62.676537
5028.002930	-63.047184
5038.769531	-63.326572
5049.536133	-63.573982
5060.302734	-63.444859
5071.069336	-63.170334
5081.835938	-63.173996
5092.602539	-63.026524
5103.369141	-63.141819
5114.135742	-63.162800
5124.902344	-62.930645
5135.668945	-62.803745
5146.435547	-62.242638
5157.202148	-63.028587
5167.968750	-62.790062
5178.735352	-63.251873
5189.501953	-63.552910
5200.268555	-63.547424
5211.035156	-64.052513
5221.801758	-64.303299
5232.568359	-65.144272
5243.334961	-65.425789
5254.101562	-65.753609
5264.868164	-66.474922
5275.634766	-66.869377
5286.401367	-67.391235
5297.167969	-67.626686
5307.934570	-67.828690
5318.701172	-67.956169
5329.467773	-68.135849
5340.234375	-68.148705
5351.000977	-68.241592
5361.767578	-68.293259
5372.534180	-68.298897
5383.300781	-68.303658
5394.067383	-68.314934
5404.833984	-68.319199
5415.600586	-68.330208
5426.367188	-68.334198
5437.133789	-68.338837
5447.900391	-68.342545
5458.666992	-68.345612
5469.433594	-68.348099
5480.200195	-68.350021
5490.966797	-68.351395
5501.733398	-68.352203
