Frequency (Hz)	Level (dB)
195.144653	-65.169090
195.817566	-64.794678
196.490479	-65.503891
197.163391	-65.398781
197.836304	-65.493530
198.509216	-64.082054
199.182129	-64.363861
199.855042	-63.350555
200.527954	-64.555695
201.200867	-63.154438
201.873779	-62.314388
202.546692	-62.836777
203.219604	-62.606884
203.892517	-61.630768
204.565430	-61.137054
205.238342	-60.764690
205.911255	-61.054882
206.584167	-60.485580
207.257080	-61.484852
207.929993	-62.304752
208.602905	-62.314861
209.275818	-60.701962
209.948730	-61.528362
210.621643	-61.598564
211.294556	-62.972061
211.967468	-60.016930
212.640381	-61.904507
213.313293	-61.315338
213.986206	-61.644222
214.659119	-61.466579
215.332031	-61.805027
216.004944	-62.488106
216.677856	-63.032898
217.350769	-63.681793
218.023682	-63.725227
218.696594	-63.257923
219.369507	-64.049629
220.042419	-64.541214
220.715332	-63.237453
221.388245	-64.109711
222.061157	-66.346230
222.734070	-66.020477
223.406982	-64.579430
224.079895	-63.252392
224.752808	-66.578140
225.425720	-66.665482
226.098633	-65.386032
226.771545	-66.680534
227.444458	-67.231720
228.117371	-67.700264
228.790283	-66.149727
229.463196	-65.825409
230.136108	-66.427734
230.809021	-67.592644
231.481934	-67.606972
232.154846	-68.616486
232.827759	-68.953369
233.500671	-68.954239
234.173584	-68.447044
234.846497	-68.419228
235.519409	-69.025719
236.192322	-70.415665
236.865234	-70.741600
237.538147	-68.729012
238.211060	-69.949745
238.883972	-70.294685
239.556885	-71.862091
240.229797	-69.407379
240.902710	-70.951569
241.575623	-69.980728
242.248535	-72.293053
242.921448	-71.743675
243.594360	-70.268745
244.267273	-71.642624
244.940186	-71.083328
245.613098	-70.326530
246.286011	-71.147377
246.958923	-71.292992
247.631836	-72.075058
248.304749	-70.549240
248.977661	-72.356125
249.650574	-72.533760
250.323486	-74.271049
250.996399	-73.516327
251.669312	-72.317856
252.342224	-72.963058
253.015137	-72.851936
253.688049	-72.054276
254.360962	-72.136787
255.033875	-72.911980
255.706787	-71.772346
256.379700	-73.266716
257.052612	-73.740440
257.725525	-75.671722
258.398438	-75.077080
259.071350	-72.786301
259.744263	-74.522758
260.417175	-73.986519
261.090088	-75.602486
261.763000	-72.381538
262.435913	-74.469620
263.108826	-73.882256
263.781738	-75.482552
264.454651	-74.236328
265.127563	-72.994247
265.800476	-74.388306
266.473389	-74.720222
267.146301	-73.958046
267.819214	-73.380272
268.492126	-73.157417
269.165039	-72.959854
269.837952	-74.540482
270.510864	-76.120605
271.183777	-75.726746
271.856689	-75.065071
272.529602	-75.949028
273.202515	-75.263336
273.875427	-75.259094
274.548340	-75.177879
275.221252	-74.874359
275.894165	-74.995613
276.567078	-74.867592
277.239990	-74.866951
277.912903	-75.258980
278.585815	-73.430847
279.258728	-73.765656
279.931641	-76.661385
280.604553	-75.976265
281.277466	-73.862053
281.950378	-75.274109
282.623291	-76.112473
283.296204	-74.588623
283.969116	-75.308609
284.642029	-75.240143
285.314941	-74.562592
285.987854	-77.071991
286.660767	-75.021156
287.333679	-74.761917
288.006592	-76.135345
288.679504	-76.477478
289.352417	-75.113037
290.025330	-76.209236
290.698242	-75.907303
291.371155	-75.920052
292.044067	-76.010139
292.716980	-75.142982
293.389893	-75.611900
294.062805	-73.163292
294.735718	-74.793816
295.408630	-76.119965
296.081543	-75.870552
296.754456	-74.783577
297.427368	-77.347031
298.100281	-75.431244
298.773193	-76.084343
299.446106	-73.818359
300.119019	-76.592033
300.791931	-76.855347
301.464844	-76.862335
302.137756	-76.579071
302.810669	-75.737869
303.483582	-75.417015
304.156494	-75.370438
304.829407	-75.992683
305.502319	-77.458237
306.175232	-76.424690
306.848145	-76.638824
307.521057	-76.053711
308.193970	-74.517723
308.866882	-76.263344
309.539795	-75.589828
310.212708	-76.191505
310.885620	-76.178642
311.558533	-76.433617
312.231445	-76.902382
312.904358	-77.517288
313.577271	-75.607643
314.250183	-77.062256
314.923096	-76.648232
315.596008	-76.476349
316.268921	-75.496696
316.941833	-76.934853
317.614746	-76.583138
318.287659	-76.091240
318.960571	-75.838997
319.633484	-75.486649
320.306396	-75.702026
320.979309	-75.431206
321.652222	-74.927116
322.325134	-74.945580
322.998047	-75.094429
323.670959	-76.097351
324.343872	-76.352791
325.016785	-76.780556
325.689697	-77.051750
326.362610	-77.189026
327.035522	-75.414406
327.708435	-77.129448
328.381348	-77.421776
329.054260	-76.263306
329.727173	-77.023331
330.400085	-75.543739
331.072998	-75.353386
331.745911	-75.102859
332.418823	-75.028961
333.091736	-76.431610
333.764648	-75.261276
334.437561	-74.945206
335.110474	-77.669022
335.783386	-74.972000
336.456299	-74.905815
337.129211	-74.255516
337.802124	-74.387863
338.475037	-75.484741
339.147949	-75.829636
339.820862	-74.315262
340.493774	-75.082825
341.166687	-75.521042
341.839600	-76.384323
342.512512	-73.876892
343.185425	-74.592911
343.858337	-75.877014
344.531250	-73.747772
345.204163	-75.149101
345.877075	-75.458405
346.549988	-74.340569
347.222900	-74.116035
347.895813	-75.004898
348.568726	-74.300163
349.241638	-72.580246
349.914551	-73.921989
350.587463	-75.555412
351.260376	-73.394623
351.933289	-72.282471
352.606201	-72.864517
353.279114	-73.574081
353.952026	-74.566017
354.624939	-73.883095
355.297852	-73.422592
355.970764	-73.307281
356.643677	-73.845650
357.316589	-73.296394
357.989502	-74.277603
358.662415	-74.070381
359.335327	-73.397438
360.008240	-72.417343
360.681152	-73.498177
361.354065	-73.911316
362.026978	-72.610382
362.699890	-72.714996
363.372803	-72.984062
364.045715	-73.974495
364.718628	-73.561188
365.391541	-72.837418
366.064453	-72.422691
