Frequency (Hz)	Level (dB)
195.144653	-85.756905
195.817566	-86.450844
196.490479	-87.171562
197.163391	-85.688629
197.836304	-87.028320
198.509216	-86.272942
199.182129	-86.313675
199.855042	-86.135330
200.527954	-88.039940
201.200867	-85.415741
201.873779	-85.025871
202.546692	-86.384727
203.219604	-87.287369
203.892517	-84.467499
204.565430	-85.698380
205.238342	-84.913704
205.911255	-84.959511
206.584167	-85.531837
207.257080	-85.612267
207.929993	-85.601715
208.602905	-86.058800
209.275818	-84.310448
209.948730	-86.424133
210.621643	-84.940781
211.294556	-86.803314
211.967468	-84.523064
212.640381	-85.107315
213.313293	-85.401680
213.986206	-84.412567
214.659119	-84.594086
215.332031	-84.748894
216.004944	-85.396637
216.677856	-84.594406
217.350769	-84.723618
218.023682	-85.352966
218.696594	-84.732971
219.369507	-84.793343
220.042419	-84.333450
220.715332	-83.213531
221.388245	-84.207634
222.061157	-86.079849
222.734070	-85.164719
223.406982	-83.822365
224.079895	-81.654816
224.752808	-83.506317
225.425720	-84.055237
226.098633	-82.915070
226.771545	-83.024765
227.444458	-83.617699
228.117371	-83.115662
228.790283	-82.227669
229.463196	-81.696632
230.136108	-81.400162
230.809021	-81.740685
231.481934	-82.319328
232.154846	-82.013527
232.827759	-82.430153
233.500671	-82.311317
234.173584	-80.669525
234.846497	-81.188072
235.519409	-80.971970
236.192322	-83.263214
236.865234	-81.634995
237.538147	-80.062363
238.211060	-80.870178
238.883972	-80.625359
239.556885	-82.126801
240.229797	-79.560364
240.902710	-80.553360
241.575623	-80.023376
242.248535	-80.821838
242.921448	-79.760399
243.594360	-77.883766
244.267273	-78.457909
244.940186	-78.197235
245.613098	-76.495033
246.286011	-77.284897
246.958923	-77.341118
247.631836	-76.903053
248.304749	-75.020676
248.977661	-76.907951
249.650574	-76.708900
250.323486	-76.934143
250.996399	-76.741753
251.669312	-75.153389
252.342224	-75.065720
253.015137	-74.737762
253.688049	-73.831017
254.360962	-74.039795
255.033875	-74.284744
255.706787	-73.491982
256.379700	-74.448349
257.052612	-74.624428
257.725525	-76.624619
258.398438	-76.227707
259.071350	-73.537056
259.744263	-75.569023
260.417175	-75.384193
261.090088	-76.313416
261.763000	-73.116135
262.435913	-75.434708
263.108826	-75.006149
263.781738	-77.054367
264.454651	-75.819420
265.127563	-75.043846
265.800476	-76.871071
266.473389	-77.252327
267.146301	-77.303001
267.819214	-76.835381
268.492126	-76.474991
269.165039	-76.593475
269.837952	-78.060150
270.510864	-79.057114
271.183777	-79.856483
271.856689	-79.499161
272.529602	-80.599602
273.202515	-79.696899
273.875427	-80.212975
274.548340	-80.596497
275.221252	-79.919121
275.894165	-80.369751
276.567078	-80.778160
277.239990	-80.789627
277.912903	-81.602760
278.585815	-79.546349
279.258728	-80.096458
279.931641	-82.531319
280.604553	-82.464821
281.277466	-80.515892
281.950378	-81.483162
282.623291	-82.874039
283.296204	-80.924973
283.969116	-82.120491
284.642029	-82.443344
285.314941	-81.927826
285.987854	-84.100586
286.660767	-82.451752
287.333679	-82.306419
288.006592	-83.297729
288.679504	-84.191322
289.352417	-82.368973
290.025330	-84.465439
290.698242	-84.030022
291.371155	-83.614403
292.044067	-84.154686
292.716980	-83.124252
293.389893	-83.836014
294.062805	-81.958565
294.735718	-83.162552
295.408630	-84.564735
296.081543	-84.384331
296.754456	-83.733643
297.427368	-85.940292
298.100281	-83.748100
298.773193	-84.003845
299.446106	-82.593262
300.119019	-85.366417
300.791931	-84.437332
301.464844	-84.654503
302.137756	-84.744957
302.810669	-84.667091
303.483582	-83.926613
304.156494	-83.554436
304.829407	-84.400925
305.502319	-86.259026
306.175232	-84.936485
306.848145	-85.088570
307.521057	-84.682907
308.193970	-83.734581
308.866882	-85.022110
309.539795	-83.925201
310.212708	-84.674500
310.885620	-84.737160
311.558533	-85.506416
312.231445	-85.165588
312.904358	-85.919479
313.577271	-84.130417
314.250183	-86.334869
314.923096	-85.821838
315.596008	-85.248436
316.268921	-85.015182
316.941833	-85.988464
317.614746	-85.322311
318.287659	-84.516724
318.960571	-85.149429
319.633484	-84.617935
320.306396	-85.851692
320.979309	-84.361946
321.652222	-84.128487
322.325134	-84.592537
322.998047	-84.390839
323.670959	-85.108856
324.343872	-86.125229
325.016785	-85.514915
325.689697	-86.526558
326.362610	-86.057892
327.035522	-85.360863
327.708435	-87.166748
328.381348	-87.559486
329.054260	-85.837219
329.727173	-85.715927
330.400085	-85.209137
331.072998	-84.784149
331.745911	-85.016724
332.418823	-84.047020
333.091736	-85.824142
333.764648	-84.744583
334.437561	-84.308609
335.110474	-87.383171
335.783386	-84.127090
336.456299	-83.719040
337.129211	-83.374176
337.802124	-83.414299
338.475037	-84.845367
339.147949	-85.009293
339.820862	-83.876129
340.493774	-84.845253
341.166687	-85.106628
341.839600	-85.864731
342.512512	-82.687210
343.185425	-83.374817
343.858337	-85.096169
344.531250	-82.613907
345.204163	-83.597672
345.877075	-84.230675
346.549988	-82.858543
347.222900	-82.980072
347.895813	-84.127991
348.568726	-82.821701
349.241638	-81.235626
349.914551	-82.321678
350.587463	-84.091766
351.260376	-81.691597
351.933289	-80.108238
352.606201	-81.057167
353.279114	-81.836884
353.952026	-82.593895
354.624939	-82.097206
355.297852	-81.434013
355.970764	-80.623871
356.643677	-81.382294
357.316589	-80.636490
357.989502	-81.367256
358.662415	-80.790161
359.335327	-80.767693
360.008240	-78.612167
360.681152	-79.992912
361.354065	-80.794456
362.026978	-78.988113
362.699890	-78.518944
363.372803	-78.681038
364.045715	-79.287651
364.718628	-79.016090
365.391541	-77.982727
366.064453	-77.323540
366.737366	-77.119797
367.410278	-77.867508
368.083191	-76.820190
368.756104	-76.732887
369.429016	-76.025841
370.101929	-74.033852
370.774841	-75.653908
371.447754	-75.215714
372.120667	-74.808456
372.793579	-75.400505
373.466492	-74.722878
374.139404	-74.881111
374.812317	-73.568604
375.485229	-73.958221
376.158142	-74.560326
376.831055	-74.110085
377.503967	-73.721054
378.176880	-72.588669
378.849792	-73.738289
379.522705	-72.799408
380.195618	-71.321419
380.868530	-71.976997
381.541443	-71.930305
382.214355	-72.719994
382.887268	-73.502594
383.560181	-74.004608
384.233093	-72.860672
384.906006	-76.061867
385.578918	-74.830421
386.251831	-76.030914
386.924744	-75.944641
387.597656	-75.600616
388.270569	-76.038773
388.943481	-75.457626
389.616394	-77.438301
390.289307	-76.081635
390.962219	-77.106888
391.635132	-78.170410
392.308044	-76.787720
392.980957	-77.326332
393.653870	-78.373940
394.326782	-77.310310
394.999695	-79.690773
395.672607	-77.973114
396.345520	-78.913689
397.018433	-77.486084
397.691345	-78.703568
398.364258	-78.255356
399.037170	-78.714447
399.710083	-79.227020
400.382996	-78.617371
401.055908	-78.485222
401.728821	-78.807579
402.401733	-79.321335
403.074646	-78.704536
403.747559	-79.301353
404.420471	-78.940704
405.093384	-79.061592
405.766296	-79.326958
406.439209	-79.686440
407.112122	-79.067665
407.785034	-79.882179
408.457947	-79.861626
409.130859	-79.796516
409.803772	-80.410583
410.476685	-81.958427
411.149597	-80.264381
411.822510	-79.859146
412.495422	-80.270561
413.168335	-80.475243
413.841248	-82.470680
414.514160	-81.997635
415.187073	-81.948677
415.859985	-81.028267
416.532898	-80.907898
417.205811	-79.862411
417.878723	-81.081810
418.551636	-81.316566
419.224548	-81.295959
419.897461	-82.585938
420.570374	-82.068047
421.243286	-81.668304
421.916199	-80.913963
422.589111	-80.924545
423.262024	-83.412056
423.934937	-81.144394
424.607849	-81.624847
425.280762	-83.334839
425.953674	-82.157433
426.626587	-82.489578
427.299500	-80.706642
427.972412	-82.828209
428.645325	-82.232391
429.318237	-83.650337
429.991150	-83.774063
430.664062	-81.330154
431.336975	-82.834656
432.009888	-82.795769
432.682800	-81.633980
433.355713	-82.308708
434.028625	-81.666695
434.701538	-82.281265
435.374451	-82.058861
436.047363	-83.320641
436.720276	-82.106682
437.393188	-84.141853
438.066101	-83.508255
438.739014	-82.156555
439.411926	-83.335663
440.084839	-84.720520
440.757751	-83.405128
441.430664	-83.930878
442.103577	-82.754791
442.776489	-83.412292
443.449402	-83.776718
444.122314	-83.770287
444.795227	-83.353584
445.468140	-83.512070
446.141052	-82.785065
446.813965	-83.645164
447.486877	-83.489784
448.159790	-84.343063
448.832703	-83.330971
449.505615	-83.925323
450.178528	-83.473976
450.851440	-82.284157
451.524353	-84.074348
452.197266	-83.946907
452.870178	-82.083954
453.543091	-82.191315
454.216003	-81.634064
454.888916	-82.941467
455.561829	-83.420441
456.234741	-81.722603
456.907654	-82.471962
457.580566	-83.406021
458.253479	-83.194359
458.926392	-84.171921
459.599304	-82.511421
460.272217	-83.615013
460.945129	-82.106323
461.618042	-82.636848
462.290955	-83.204346
462.963867	-83.572083
463.636780	-82.219658
464.309692	-83.718521
464.982605	-82.778023
465.655518	-83.254517
466.328430	-81.843109
467.001343	-83.367119
467.674255	-83.889931
468.347168	-83.846634
469.020081	-82.335052
469.692993	-81.536079
470.365906	-82.875031
471.038818	-82.658043
471.711731	-81.508064
472.384644	-81.296654
473.057556	-82.641624
473.730469	-80.249130
474.403381	-81.620598
475.076294	-81.234955
475.749207	-80.795998
476.422119	-80.992989
477.095032	-82.496063
477.767944	-81.292152
478.440857	-79.409264
479.113770	-81.765694
479.786682	-81.259590
480.459595	-80.498260
481.132507	-80.410828
481.805420	-81.746368
482.478333	-80.964996
483.151245	-81.730011
483.824158	-80.592590
484.497070	-78.633537
485.169983	-78.697258
485.842896	-79.473953
486.515808	-80.883377
487.188721	-78.988136
487.861633	-79.018738
488.534546	-78.275642
489.207458	-80.064674
489.880371	-78.797081
490.553284	-80.157593
491.226196	-80.287560
491.899109	-79.508911
492.572021	-79.702156
493.244934	-80.321472
493.917847	-83.161720
494.590759	-79.922615
495.263672	-79.456932
495.936584	-80.545700
496.609497	-78.648933
497.282410	-79.101562
497.955322	-81.213974
498.628235	-80.583374
499.301147	-79.780815
499.974060	-78.920624
500.646973	-79.665192
501.319885	-77.589203
501.992798	-78.775612
502.665710	-78.772804
503.338623	-79.153008
504.011536	-78.985573
504.684448	-78.901688
505.357361	-78.500923
506.030273	-78.210381
506.703186	-76.405243
507.376099	-78.374062
508.049011	-77.394577
508.721924	-77.352570
509.394836	-79.148682
510.067749	-77.798958
510.740662	-76.615318
511.413574	-77.214951
512.086487	-77.836166
512.759399	-77.888023
513.432312	-77.039909
514.105225	-76.157303
514.778137	-76.966537
515.451050	-76.528343
516.123962	-76.038811
516.796875	-76.954666
517.469788	-76.659737
518.142700	-77.992447
518.815613	-78.408005
519.488525	-77.752205
520.161438	-78.398071
520.834351	-77.799850
521.507263	-78.131859
522.180176	-77.623947
522.853088	-77.822350
523.526001	-79.114738
524.198914	-77.644562
524.871826	-78.486290
525.544739	-79.111382
526.217651	-77.636169
526.890564	-77.262207
527.563477	-77.370781
528.236389	-79.394211
528.909302	-79.787666
529.582214	-79.021797
530.255127	-78.932648
530.928040	-78.147316
531.600952	-80.953171
532.273865	-79.932114
532.946777	-79.612877
533.619690	-80.105972
534.292603	-81.744728
534.965515	-80.156296
535.638428	-81.487579
536.311340	-80.533699
536.984253	-79.138924
537.657166	-79.260254
538.330078	-78.856857
539.002991	-80.615685
539.675903	-80.832504
540.348816	-81.655769
541.021729	-80.485840
541.694641	-82.553894
542.367554	-81.084389
543.040466	-79.837540
543.713379	-82.474625
544.386292	-81.827324
545.059204	-80.744087
545.732117	-81.032265
546.405029	-80.442314
547.077942	-79.135979
547.750854	-82.833397
548.423767	-82.039757
549.096680	-82.351624
549.769592	-81.948952
550.442505	-80.815292
551.115417	-80.028473
551.788330	-81.512543
552.461243	-81.154320
553.134155	-82.128761
553.807068	-80.765961
554.479980	-80.947189
555.152893	-80.109558
555.825806	-79.957550
556.498718	-80.213257
557.171631	-79.779991
557.844543	-81.251518
558.517456	-84.713615
559.190369	-83.803528
559.863281	-81.816338
560.536194	-82.342422
561.209106	-82.923576
561.882019	-81.447945
562.554932	-82.558067
563.227844	-82.591743
563.900757	-82.460381
564.573669	-82.237915
565.246582	-83.580963
565.919495	-82.701782
566.592407	-83.096779
567.265320	-82.191895
567.938232	-82.138390
568.611145	-81.371597
569.284058	-81.696312
569.956970	-83.687759
570.629883	-82.475090
571.302795	-82.822067
571.975708	-83.384743
572.648621	-82.229141
573.321533	-81.937431
573.994446	-81.070526
574.667358	-82.616127
575.340271	-82.513649
576.013184	-83.851242
576.686096	-82.209915
577.359009	-82.716278
578.031921	-81.944252
578.704834	-84.560478
579.377747	-82.486320
580.050659	-81.421883
580.723572	-83.143890
581.396484	-81.463104
582.069397	-81.981689
582.742310	-82.202835
583.415222	-82.603745
584.088135	-83.541344
584.761047	-80.927422
585.433960	-81.574951
586.106873	-81.759598
586.779785	-81.201591
587.452698	-81.391258
588.125610	-82.674591
588.798523	-82.998611
589.471436	-82.787186
590.144348	-83.524559
590.817261	-82.880829
591.490173	-82.504623
592.163086	-82.554733
592.835999	-82.230148
593.508911	-81.799362
594.181824	-81.556915
594.854736	-80.782471
595.527649	-81.150154
596.200562	-82.093178
596.873474	-81.739868
597.546387	-82.434349
598.219299	-82.347603
598.892212	-84.718102
599.565125	-80.579369
600.238037	-81.826050
600.910950	-82.344254
601.583862	-82.130219
602.256775	-82.927765
602.929688	-79.725349
603.602600	-79.926926
604.275513	-81.668663
604.948425	-81.895073
605.621338	-80.359253
606.294250	-83.439224
606.967163	-81.963799
607.640076	-82.045708
608.312988	-80.439713
608.985901	-82.185760
609.658813	-80.575073
610.331726	-80.700607
611.004639	-81.285385
611.677551	-82.290901
612.350464	-81.683228
613.023376	-79.261864
613.696289	-82.313408
614.369202	-82.536972
615.042114	-81.630974
615.715027	-81.438560
616.387939	-81.776253
617.060852	-82.621101
617.733765	-82.269310
618.406677	-80.402161
619.079590	-80.693520
619.752502	-80.772881
620.425415	-82.189873
621.098328	-80.574234
621.771240	-80.655884
622.444153	-81.896011
623.117065	-80.019646
623.789978	-81.701317
624.462891	-81.436249
625.135803	-83.013489
625.808716	-80.871376
626.481628	-79.983681
627.154541	-79.787064
627.827454	-80.323395
628.500366	-80.840324
629.173279	-79.938515
629.846191	-80.323410
630.519104	-80.038696
631.192017	-79.523964
631.864929	-80.173508
632.537842	-79.220352
633.210754	-79.048096
633.883667	-78.517578
634.556580	-79.493835
635.229492	-77.730362
635.902405	-77.434219
636.575317	-79.623024
637.248230	-78.702896
637.921143	-78.128685
638.594055	-78.402779
639.266968	-78.724960
639.939880	-76.984795
640.612793	-78.458298
641.285706	-79.321877
641.958618	-78.203987
642.631531	-77.495415
643.304443	-76.669830
643.977356	-76.915039
