Frequency (Hz)	Level (dB)
97.572327	-56.867615
97.908783	-57.353317
98.245239	-56.275028
98.581696	-56.917294
98.918152	-58.613327
99.254608	-58.360764
99.591064	-59.125286
99.927521	-58.206234
100.263977	-58.094570
100.600433	-61.447739
100.936890	-58.930099
101.273346	-58.697803
101.609802	-58.732418
101.946259	-60.605637
102.282715	-63.110382
102.619171	-62.277302
102.955627	-59.197094
103.292084	-60.841892
103.628540	-60.322372
103.964996	-61.796745
104.301453	-57.310791
104.637909	-60.210991
104.974365	-60.780067
105.310822	-56.482651
105.647278	-56.188164
105.983734	-52.621593
106.320190	-55.573372
106.656647	-56.803188
106.993103	-57.035549
107.329559	-57.827820
107.666016	-57.358486
108.002472	-58.251644
108.338928	-57.592991
108.675385	-58.931576
109.011841	-60.172749
109.348297	-59.173279
109.684753	-61.336407
110.021210	-61.383411
110.357666	-63.210556
110.694122	-59.882008
111.030579	-59.068707
111.367035	-61.699841
111.703491	-63.422871
112.039948	-61.830669
112.376404	-62.042900
112.712860	-61.594563
113.049316	-62.541363
113.385773	-62.638088
113.722229	-62.066452
114.058685	-63.966331
114.395142	-62.424343
114.731598	-60.509941
115.068054	-59.229092
115.404510	-59.934395
115.740967	-58.812046
116.077423	-58.381512
116.413879	-59.577023
116.750336	-56.494621
117.086792	-55.006477
117.423248	-49.033634
117.759705	-38.989990
118.096161	-44.832657
118.432617	-53.549702
118.769073	-55.353176
119.105530	-56.863796
119.441986	-58.938118
119.778442	-60.414276
120.114899	-59.832142
120.451355	-57.925339
120.787811	-61.150135
121.124268	-58.997929
121.460724	-61.995007
121.797180	-60.618629
122.133636	-60.437855
122.470093	-61.849751
122.806549	-62.478256
123.143005	-58.768970
123.479462	-60.202343
123.815918	-59.733971
124.152374	-59.500088
124.488831	-61.913139
124.825287	-62.667530
125.161743	-59.819416
125.498199	-59.873711
125.834656	-61.508648
126.171112	-61.926834
126.507568	-61.707493
126.844025	-61.306213
127.180481	-60.187744
127.516937	-62.845280
127.853394	-61.457123
128.189850	-60.855667
128.526306	-63.760548
128.862762	-61.016895
129.199219	-61.872746
129.535675	-60.540905
129.872131	-60.850708
130.208588	-62.226265
130.545044	-60.534546
130.881500	-62.567505
131.217957	-62.585789
131.554413	-62.585785
131.890869	-62.605080
132.227325	-61.051353
132.563782	-62.304962
132.900238	-61.043530
133.236694	-63.391254
133.573151	-61.599434
133.909607	-59.850117
134.246063	-62.737122
134.582520	-60.900616
134.918976	-62.173782
135.255432	-63.755058
135.591888	-61.624226
135.928345	-59.602280
136.264801	-59.893612
136.601257	-62.190365
136.937714	-59.608589
137.274170	-59.265335
137.610626	-62.318424
137.947083	-60.660851
138.283539	-61.355164
138.619995	-60.730366
138.956451	-61.525066
139.292908	-62.837765
139.629364	-57.753452
139.965820	-57.291061
140.302277	-59.571899
140.638733	-58.311020
140.975189	-54.586727
141.311646	-45.414463
141.648102	-48.131462
141.984558	-57.259834
142.321014	-59.483608
142.657471	-60.982002
142.993927	-61.269585
143.330383	-61.787884
143.666840	-60.534515
144.003296	-60.664391
144.339752	-62.992584
144.676208	-63.370926
145.012665	-60.109623
145.349121	-61.908581
145.685577	-61.027115
146.022034	-60.408970
146.358490	-59.044353
146.694946	-59.881508
147.031403	-60.260838
147.367859	-59.515938
147.704315	-60.079308
148.040771	-59.921364
148.377228	-60.778374
148.713684	-60.261005
149.050140	-59.774181
149.386597	-61.497807
149.723053	-60.241852
150.059509	-59.114449
150.395966	-58.499775
150.732422	-59.796822
151.068878	-61.043415
151.405334	-61.486801
151.741791	-62.684387
152.078247	-62.544277
152.414703	-63.945038
152.751160	-60.510368
153.087616	-59.388630
153.424072	-61.099403
153.760529	-61.691360
154.096985	-60.789612
154.433441	-61.084465
154.769897	-59.737217
155.106354	-60.027874
155.442810	-59.600296
155.779266	-60.518867
156.115723	-60.534256
156.452179	-59.139694
156.788635	-62.136749
157.125092	-61.049480
157.461548	-61.212425
157.798004	-59.235249
158.134460	-59.554783
158.470917	-61.847736
158.807373	-61.619926
159.143829	-60.512993
159.480286	-61.604111
159.816742	-61.090210
160.153198	-64.636848
160.489655	-62.730324
160.826111	-61.134876
161.162567	-64.303383
161.499023	-62.404186
161.835480	-61.299683
162.171936	-62.620602
162.508392	-60.783691
